,Dates,Home_teams,Score,Away_team
383,07-08-2022,West Ham,0 - 2,Man City
384,21-08-2022,Newcastle,3 - 3,Man City
385,03-09-2022,Aston Villa,1 - 1,Man City
386,17-09-2022,Wolves,0 - 3,Man City
387,16-10-2022,Liverpool,1 - 0,Man City
388,29-10-2022,Leicester,0 - 1,Man City
389,28-12-2022,Leeds,1 - 3,Man City
390,05-01-2023,Chelsea,0 - 1,Man City
391,14-01-2023,Man United,2 - 1,Man City
392,05-02-2023,Tottenham,1 - 0,Man City
393,15-02-2023,Arsenal,1 - 3,Man City
394,18-02-2023,Nott'm Forest,1 - 1,Man City
395,25-02-2023,Bournemouth,1 - 4,Man City
396,11-03-2023,Crystal Palace,0 - 1,Man City
397,08-04-2023,Southampton,1 - 4,Man City
398,07-08-2022,Man United,1 - 2,Brighton
399,22-08-2022,Man United,2 - 1,Liverpool
400,04-09-2022,Man United,3 - 1,Arsenal
401,16-10-2022,Man United,0 - 0,Newcastle
402,19-10-2022,Man United,2 - 0,Tottenham
403,30-10-2022,Man United,1 - 0,West Ham
404,27-12-2022,Man United,3 - 0,Nott'm Forest
405,03-01-2023,Man United,3 - 0,Bournemouth
406,14-01-2023,Man United,2 - 1,Man City
407,04-02-2023,Man United,2 - 1,Crystal Palace
408,08-02-2023,Man United,2 - 2,Leeds
409,19-02-2023,Man United,3 - 0,Leicester
410,12-03-2023,Man United,0 - 0,Southampton
411,05-04-2023,Man United,1 - 0,Brentford
412,08-04-2023,Man United,2 - 0,Everton
413,13-08-2022,Brentford,4 - 0,Man United
414,27-08-2022,Southampton,0 - 1,Man United
415,01-09-2022,Leicester,0 - 1,Man United
416,02-10-2022,Man City,6 - 3,Man United
417,09-10-2022,Everton,1 - 2,Man United
418,22-10-2022,Chelsea,1 - 1,Man United
419,06-11-2022,Aston Villa,3 - 1,Man United
420,13-11-2022,Fulham,1 - 2,Man United
421,31-12-2022,Wolves,0 - 1,Man United
422,18-01-2023,Crystal Palace,1 - 1,Man United
423,22-01-2023,Arsenal,3 - 2,Man United
424,12-02-2023,Leeds,0 - 2,Man United
425,05-03-2023,Liverpool,7 - 0,Man United
426,02-04-2023,Newcastle,2 - 0,Man United
427,16-04-2023,Nott'm Forest,? - ?,Man United
428,06-08-2022,Newcastle,2 - 0,Nott'm Forest
429,21-08-2022,Newcastle,3 - 3,Man City
430,03-09-2022,Newcastle,0 - 0,Crystal Palace
431,17-09-2022,Newcastle,1 - 1,Bournemouth
432,08-10-2022,Newcastle,5 - 1,Brentford
433,19-10-2022,Newcastle,1 - 0,Everton
434,29-10-2022,Newcastle,4 - 0,Aston Villa
435,12-11-2022,Newcastle,1 - 0,Chelsea
436,31-12-2022,Newcastle,0 - 0,Leeds
437,15-01-2023,Newcastle,1 - 0,Fulham
438,04-02-2023,Newcastle,1 - 1,West Ham
439,18-02-2023,Newcastle,0 - 2,Liverpool
440,12-03-2023,Newcastle,2 - 1,Wolves
441,02-04-2023,Newcastle,2 - 0,Man United
442,13-08-2022,Brighton,0 - 0,Newcastle
443,28-08-2022,Wolves,1 - 1,Newcastle
444,31-08-2022,Liverpool,2 - 1,Newcastle
445,01-10-2022,Fulham,1 - 4,Newcastle
446,16-10-2022,Man United,0 - 0,Newcastle
447,23-10-2022,Tottenham,1 - 2,Newcastle
448,06-11-2022,Southampton,1 - 4,Newcastle
449,26-12-2022,Leicester,0 - 3,Newcastle
450,03-01-2023,Arsenal,0 - 0,Newcastle
451,21-01-2023,Crystal Palace,0 - 0,Newcastle
452,11-02-2023,Bournemouth,1 - 1,Newcastle
453,04-03-2023,Man City,2 - 0,Newcastle
454,17-03-2023,Nott'm Forest,1 - 2,Newcastle
455,05-04-2023,West Ham,1 - 5,Newcastle
456,08-04-2023,Brentford,1 - 2,Newcastle
457,15-04-2023,Aston Villa,? - ?,Newcastle
458,14-08-2022,Nott'm Forest,1 - 0,West Ham
459,28-08-2022,Nott'm Forest,0 - 2,Tottenham
460,03-09-2022,Nott'm Forest,2 - 3,Bournemouth
461,16-09-2022,Nott'm Forest,2 - 3,Fulham
462,10-10-2022,Nott'm Forest,1 - 1,Aston Villa
463,22-10-2022,Nott'm Forest,1 - 0,Liverpool
464,05-11-2022,Nott'm Forest,2 - 2,Brentford
465,12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
466,01-01-2023,Nott'm Forest,1 - 1,Chelsea
467,14-01-2023,Nott'm Forest,2 - 0,Leicester
468,05-02-2023,Nott'm Forest,1 - 0,Leeds
469,18-02-2023,Nott'm Forest,1 - 1,Man City
470,05-03-2023,Nott'm Forest,2 - 2,Everton
